Business Contract Tracking Register,,,,,,,,,,,,,
Mock data for illustration purposes only — replace with actual contract records,,,,,,,,,,,,,
,,,,,,,,,,,,,
No.,Types of Services,Name of Contract,Country,Partner,Customer,Note,Effective Date,Start Date,End Date,Responsible By,Remark,Status,Cost of Contract
2254,Telecommunications,Corporate Mobile Plan Agreement #3253,Myanmar,"Unity Solutions Co., Ltd.","Trident Trading Co., Ltd.",Includes quarterly business review meetings,10-ธ.ค.-2026,10-ธ.ค.-2026,04-มิ.ย.-2028,Chloe W.,Flagged for cost optimization review,Renewed,"$473,700"
2255,Waste Management,Waste Collection & Disposal Contract #3254,South Korea,"Metro Group Co., Ltd.",Internal - E-commerce,Volume discount tier applies above threshold spend,09-เม.ย.-2025,16-เม.ย.-2025,16-ต.ค.-2027,Budi M.,Scope extension being discussed with partner,Renewed,"$132,000"
2256,Travel & Events,Conference Venue Agreement #3255,United Arab Emirates,Solace Industries LLC,Internal - Corporate Affairs,"Multi-year framework agreement, reviewed yearly",01-พ.ค.-2024,01-พ.ค.-2024,24-มี.ค.-2026,Somchai C.,Flagged for cost optimization review,Expired/Not renewed,"$39,900"
2257,Financial Services,Corporate Banking Services Agreement #3256,Philippines,Prime Solutions Inc.,Internal - Admin Dept.,"Multi-year framework agreement, reviewed yearly",24-มิ.ย.-2024,01-ก.ค.-2024,09-พ.ย.-2026,Yuki E.,Legal review in progress before renewal,Negotiation in progress,"$648,000"
2258,IT Services,Cloud Hosting Agreement #3257,Cambodia,"Onyx Holdings Co., Ltd.",Internal - Finance Dept.,Volume discount tier applies above threshold spend,10-ก.ค.-2023,17-ก.ค.-2023,06-ธ.ค.-2026,Aiko H.,No issues reported this cycle,Upcoming renewal,"$533,300"
2259,Financial Services,Audit & Assurance Engagement #3258,Myanmar,"Prime Industries Co., Ltd.",Internal - Finance Dept.,Volume discount tier applies above threshold spend,21-ส.ค.-2023,21-ส.ค.-2023,17-ก.ย.-2024,Michael M.,"Renewal quote received, under internal review",Expired/Not renewed,"$708,200"
2260,Training & Development,E-Learning Platform License #3259,United Kingdom,Bright Enterprises Ltd.,Evergreen Technologies Ltd.,Volume discount tier applies above threshold spend,04-ส.ค.-2020,11-ส.ค.-2020,21-มิ.ย.-2024,Sarah I.,Legal review in progress before renewal,Expired/Not renewed,"$43,000"
2261,Travel & Events,Corporate Travel Management Agreement #3260,India,Delta Group Pvt. Ltd.,Internal - IT Security,Includes quarterly business review meetings,14-ต.ค.-2022,14-ต.ค.-2022,09-ต.ค.-2026,Ravi A.,-,Upcoming renewal,"$363,400"
2262,Real Estate & Leasing,Retail Unit Lease Contract #3261,South Korea,"Ivory Solutions Co., Ltd.","Lumen Enterprises Co., Ltd.","Auto-renew clause, 15 days notice required",19-ก.ค.-2024,26-ก.ค.-2024,14-มี.ค.-2026,Budi F.,Budget approval pending for renewal,Expired/Not renewed,"$3,347,000"
2263,Real Estate & Leasing,Office Space Lease Agreement #3262,Japan,Evergreen Systems K.K.,Lumen Industries K.K.,"Auto-renew clause, 30 days notice required",08-มิ.ย.-2026,08-มิ.ย.-2026,01-พ.ค.-2028,Ahmed F.,"Renewal quote received, under internal review",Renewed,"$780,400"
2264,HR & Payroll,Employee Benefits Administration #3263,Malaysia,Pacific Networks Sdn Bhd,Internal - Supply Chain,Includes 24/7 support SLA with penalty clauses,18-พ.ค.-2022,18-พ.ค.-2022,31-ก.ค.-2024,Wei R.,"Renewal quote received, under internal review",Expired/Not renewed,"$357,900"
2265,Marketing,Creative & Branding Services #3264,United Kingdom,Anchor Capital Ltd.,Internal - HR Dept.,"Multi-year framework agreement, reviewed yearly",23-ส.ค.-2024,23-ส.ค.-2024,25-ส.ค.-2026,Daniel E.,Alternative vendors being benchmarked,Expired/Not renewed,"$104,300"
2266,Telecommunications,Internet Leased Line Contract #3265,Philippines,Delta Dynamics Inc.,Internal - IT Dept.,Pricing subject to annual CPI adjustment,10-ส.ค.-2026,17-ส.ค.-2026,04-ก.พ.-2028,Wei B.,-,Renewed,"$486,300"
2267,Insurance,Cargo Insurance Agreement #3266,Thailand,"Orion Enterprises Co., Ltd.",Internal - E-commerce,"Auto-renew clause, 90 days notice required",29-ต.ค.-2023,29-ต.ค.-2023,02-พ.ค.-2027,Wanida B.,Legal review in progress before renewal,Renewed,"$1,199,200"
2268,Printing & Publishing,Annual Report Design & Print Contract #3267,Australia,BlueSky Technologies Pty Ltd,Internal - Finance Dept.,Includes 24/7 support SLA with penalty clauses,31-ต.ค.-2022,07-พ.ย.-2022,03-เม.ย.-2025,Suchada H.,-,Expired/Not renewed,"$93,200"
2269,Waste Management,Recycling Services Agreement #3268,South Korea,"Prime Dynamics Co., Ltd.",Internal - IT Security,"Auto-renew clause, 15 days notice required",20-มี.ค.-2023,20-มี.ค.-2023,07-ม.ค.-2026,Piyawan K.,Relationship manager reassigned this quarter,Expired/Not renewed,"$218,200"
2270,Security,Access Control System Contract #3269,France,BlueSky Dynamics SAS,Internal - Finance Dept.,Service level agreement reviewed annually,12-ม.ค.-2025,26-ม.ค.-2025,24-ก.ย.-2026,James S.,Budget approval pending for renewal,Upcoming renewal,"$455,300"
2271,Legal,Litigation Support Contract #3270,Vietnam,BlueSky Consulting JSC,Unity Solutions JSC,Includes quarterly business review meetings,29-มี.ค.-2026,29-มี.ค.-2026,17-มิ.ย.-2027,Carlos M.,Alternative vendors being benchmarked,Renewed,"$32,200"
2272,Construction & Maintenance,Civil Works Contract #3271,Vietnam,Meridian Innovations JSC,Internal - Operations,Includes 24/7 support SLA with penalty clauses,05-ธ.ค.-2025,05-ธ.ค.-2025,16-ก.พ.-2029,Wanida C.,Alternative vendors being benchmarked,Renewed,"$1,093,000"
2273,Printing & Publishing,Corporate Printing Services Agreement #3272,Taiwan,"Vanguard Enterprises Co., Ltd.",Internal - Marketing Dept.,Renewal contingent on performance KPIs,20-ธ.ค.-2027,20-ธ.ค.-2027,08-ก.พ.-2029,Hiroshi B.,Scope extension being discussed with partner,Renewed,"$128,800"
2274,Waste Management,Recycling Services Agreement #3273,Hong Kong,Alliance Logistics Ltd.,Pacific Systems Ltd.,Volume discount tier applies above threshold spend,02-ธ.ค.-2021,09-ธ.ค.-2021,17-ก.ค.-2025,Daniel P.,Budget approval pending for renewal,Expired/Not renewed,"$130,700"
2275,Cleaning & Facility,Office Facility Management Contract #3274,China,"Pinnacle Ventures Co., Ltd.","Pacific Innovations Co., Ltd.",Includes 24/7 support SLA with penalty clauses,04-เม.ย.-2025,04-เม.ย.-2025,11-ก.พ.-2028,Emily D.,-,Renewed,"$326,900"
2276,Cleaning & Facility,Janitorial Services Agreement #3275,Indonesia,Silverline Solutions PT,Internal - Supply Chain,Pricing subject to annual CPI adjustment,23-มี.ค.-2024,30-มี.ค.-2024,17-ก.ย.-2027,Priya O.,Vendor performance review scheduled,Renewed,"$233,400"
2277,Logistics,Fleet Logistics Services Contract #3276,Myanmar,"Falcon Holdings Co., Ltd.",Internal - E-commerce,Service level agreement reviewed annually,12-เม.ย.-2023,12-เม.ย.-2023,27-ม.ค.-2027,Tanawat H.,No issues reported this cycle,Negotiation in progress,"$1,762,300"
2278,Consulting,Digital Transformation Consulting #3277,Japan,Bright Innovations K.K.,Prime Holdings K.K.,-,22-ต.ค.-2023,29-ต.ค.-2023,27-ม.ค.-2027,Nattapong W.,Legal review in progress before renewal,Negotiation in progress,"$266,700"
2279,Software Licensing,Business Intelligence Platform License #3278,India,Lumen Technologies Pvt. Ltd.,Internal - IT Security,"Multi-year framework agreement, reviewed yearly",12-ธ.ค.-2024,12-ธ.ค.-2024,24-ก.พ.-2028,Sarah T.,"Renewal quote received, under internal review",Renewed,"$414,300"
2280,Waste Management,Recycling Services Agreement #3279,Taiwan,"Zenith Dynamics Co., Ltd.",Internal - Legal Dept.,Exclusive regional distribution rights included,21-ก.ย.-2023,21-ก.ย.-2023,13-ม.ค.-2026,Sarah K.,-,Expired/Not renewed,"$269,500"
2281,Legal,Corporate Legal Advisory Retainer #3280,Germany,Delta Enterprises GmbH,Internal - IT Dept.,Pricing subject to annual CPI adjustment,05-ต.ค.-2024,05-ต.ค.-2024,10-พ.ย.-2026,Hiroshi E.,Alternative vendors being benchmarked,Upcoming renewal,"$531,100"
2282,Consulting,Strategy Advisory Retainer #3281,United Kingdom,BlueSky Capital Ltd.,Internal - Legal Dept.,Volume discount tier applies above threshold spend,03-ก.ค.-2025,03-ก.ค.-2025,19-ม.ค.-2028,Carlos L.,Scope extension being discussed with partner,Renewed,"$462,000"
2283,Telecommunications,VoIP Services Agreement #3282,India,NorthStar Consulting Pvt. Ltd.,Internal - Finance Dept.,Service level agreement reviewed annually,28-มี.ค.-2024,04-เม.ย.-2024,13-ก.พ.-2027,Hiroshi T.,Flagged for cost optimization review,Negotiation in progress,"$456,300"
2284,Waste Management,Waste Collection & Disposal Contract #3283,India,Evergreen Technologies Pvt. Ltd.,Internal - E-commerce,Includes 24/7 support SLA with penalty clauses,20-ม.ค.-2025,27-ม.ค.-2025,05-ต.ค.-2026,Yuki C.,Vendor performance review scheduled,Upcoming renewal,"$89,200"
2285,Telecommunications,Satellite Communication Contract #3284,United Kingdom,Titan Holdings Ltd.,Internal - E-commerce,-,07-ม.ค.-2025,07-ม.ค.-2025,30-ต.ค.-2027,Aiko I.,Flagged for cost optimization review,Renewed,"$463,200"
2286,Travel & Events,Corporate Travel Management Agreement #3285,United States,Pinnacle Group Inc.,Internal - IT Dept.,"Multi-year framework agreement, reviewed yearly",15-พ.ย.-2022,15-พ.ย.-2022,08-ธ.ค.-2025,Siti K.,Relationship manager reassigned this quarter,Expired/Not renewed,"$320,800"
2287,Fleet & Transportation,Fleet Maintenance Agreement #3286,Philippines,Metro Logistics Inc.,Internal - Finance Dept.,Volume discount tier applies above threshold spend,07-มิ.ย.-2025,07-มิ.ย.-2025,10-พ.ย.-2026,Wei I.,Legal review in progress before renewal,Negotiation in progress,"$657,300"
2288,Software Licensing,Business Intelligence Platform License #3287,India,Metro Innovations Pvt. Ltd.,Internal - IT Security,"Auto-renew clause, 60 days notice required",11-พ.ค.-2025,11-พ.ค.-2025,03-ต.ค.-2026,Wei J.,Alternative vendors being benchmarked,Negotiation in progress,"$1,904,900"
2289,Fleet & Transportation,Fleet Maintenance Agreement #3288,United Kingdom,Alliance Solutions Ltd.,Internal - Corporate Affairs,Volume discount tier applies above threshold spend,20-ก.ค.-2026,20-ก.ค.-2026,14-ก.พ.-2028,Daniel H.,Relationship manager reassigned this quarter,Renewed,"$723,100"
2290,Real Estate & Leasing,Retail Unit Lease Contract #3289,Singapore,Atlas Services Pte Ltd,Internal - Marketing Dept.,Pricing subject to annual CPI adjustment,26-ก.พ.-2025,26-ก.พ.-2025,23-ก.ย.-2026,Ravi C.,Vendor performance review scheduled,Negotiation in progress,"$4,506,900"
2291,Consulting,Business Process Improvement Engagement #3290,Vietnam,Zenith Logistics JSC,Internal - Operations,Service level agreement reviewed annually,28-ก.ค.-2023,11-ส.ค.-2023,09-ธ.ค.-2026,Aiko P.,Vendor performance review scheduled,Upcoming renewal,"$1,155,800"
2292,Logistics,Fleet Logistics Services Contract #3291,Taiwan,"Vanguard Consulting Co., Ltd.",Internal - Procurement,Includes 24/7 support SLA with penalty clauses,24-ต.ค.-2023,31-ต.ค.-2023,17-ม.ค.-2027,Arjun E.,Legal review in progress before renewal,Negotiation in progress,"$1,131,300"
2293,Security,Executive Protection Services #3292,Singapore,Summit Consulting Pte Ltd,Internal - Operations,Renewal contingent on performance KPIs,14-ต.ค.-2024,21-ต.ค.-2024,20-ม.ค.-2027,James I.,"Renewal quote received, under internal review",Negotiation in progress,"$97,200"
2294,Financial Services,Payment Gateway Services Agreement #3293,Cambodia,"Orion Holdings Co., Ltd.",Internal - Supply Chain,-,08-เม.ย.-2026,15-เม.ย.-2026,24-มิ.ย.-2028,Siti K.,Vendor performance review scheduled,Renewed,"$711,300"
2295,Fleet & Transportation,Fleet Maintenance Agreement #3294,South Korea,"Prime Services Co., Ltd.",Internal - Finance Dept.,Includes 24/7 support SLA with penalty clauses,20-ส.ค.-2024,27-ส.ค.-2024,03-พ.ย.-2027,Tanawat W.,"Renewal quote received, under internal review",Renewed,"$402,400"
2296,Logistics,Fleet Logistics Services Contract #3295,United States,Radiant Enterprises Inc.,Internal - Procurement,"Multi-year framework agreement, reviewed yearly",29-มิ.ย.-2024,13-ก.ค.-2024,26-ต.ค.-2026,Kanokwan K.,Alternative vendors being benchmarked,Upcoming renewal,"$147,400"
2297,IT Services,Managed IT Services Agreement #3296,Indonesia,Ivory Trading PT,Zenith Ventures PT,Exclusive regional distribution rights included,07-ก.ค.-2025,14-ก.ค.-2025,03-เม.ย.-2028,Somchai W.,Relationship manager reassigned this quarter,Renewed,"$2,275,400"
2298,Construction & Maintenance,Elevator Maintenance Contract #3297,Vietnam,BlueSky Consulting JSC,Internal - E-commerce,Includes quarterly business review meetings,23-ส.ค.-2023,23-ส.ค.-2023,08-ต.ค.-2026,James M.,Flagged for cost optimization review,Upcoming renewal,"$1,681,000"
2299,IT Services,Data Center Colocation Contract #3298,Indonesia,Cascade Trading PT,Internal - IT Dept.,Service level agreement reviewed annually,19-พ.ย.-2024,19-พ.ย.-2024,27-ก.พ.-2028,Ahmed W.,Scope extension being discussed with partner,Renewed,"$661,800"
2300,Travel & Events,Conference Venue Agreement #3299,France,Radiant Services SAS,Internal - Finance Dept.,Includes quarterly business review meetings,12-มี.ค.-2022,12-มี.ค.-2022,06-ต.ค.-2025,Daniel L.,Budget approval pending for renewal,Expired/Not renewed,"$199,500"
2301,Cleaning & Facility,Facility Maintenance Contract #3300,Australia,Meridian Holdings Pty Ltd,Internal - Supply Chain,Pricing subject to annual CPI adjustment,05-ม.ค.-2023,05-ม.ค.-2023,19-เม.ย.-2024,Daniel O.,Vendor performance review scheduled,Expired/Not renewed,"$234,300"
2302,Travel & Events,Event Management Services Contract #3301,Cambodia,"Evergreen Systems Co., Ltd.",Internal - HR Dept.,-,10-ต.ค.-2021,10-ต.ค.-2021,22-ก.ค.-2025,Wei G.,No issues reported this cycle,Expired/Not renewed,"$274,700"
2303,Logistics,Freight Forwarding Contract #3302,Indonesia,Summit Industries PT,Bright Systems PT,Volume discount tier applies above threshold spend,24-เม.ย.-2025,24-เม.ย.-2025,24-ต.ค.-2026,Ravi A.,Legal review in progress before renewal,Upcoming renewal,"$1,048,100"
2304,Cleaning & Facility,Janitorial Services Agreement #3303,Germany,Pinnacle Services GmbH,Internal - Supply Chain,Pricing subject to annual CPI adjustment,06-ก.พ.-2024,13-ก.พ.-2024,27-ต.ค.-2027,Laura C.,No issues reported this cycle,Renewed,"$249,800"
2305,Insurance,Property & Casualty Insurance Contract #3304,Germany,Meridian Technologies GmbH,Internal - HR Dept.,"Multi-year framework agreement, reviewed yearly",21-ม.ค.-2025,21-ม.ค.-2025,05-พ.ย.-2026,Nattapong I.,Legal review in progress before renewal,Upcoming renewal,"$614,900"
2306,Manufacturing Supply,Packaging Supply Contract #3305,Vietnam,Meridian Capital JSC,Internal - E-commerce,"Multi-year framework agreement, reviewed yearly",22-ส.ค.-2023,22-ส.ค.-2023,13-ต.ค.-2026,Carlos O.,Flagged for cost optimization review,Upcoming renewal,"$3,986,700"
2307,Logistics,Freight Forwarding Contract #3306,India,Pacific Consulting Pvt. Ltd.,Internal - HR Dept.,Pricing subject to annual CPI adjustment,22-เม.ย.-2022,22-เม.ย.-2022,07-ส.ค.-2024,Sarah G.,Legal review in progress before renewal,Expired/Not renewed,"$933,100"
2308,Marketing,Digital Marketing Retainer #3307,Hong Kong,Nova Industries Ltd.,Internal - HR Dept.,Renewal contingent on performance KPIs,29-เม.ย.-2026,29-เม.ย.-2026,24-ต.ค.-2027,Aiko A.,-,Renewed,"$434,700"
2309,Security,CCTV Monitoring Agreement #3308,Vietnam,Apex Industries JSC,Emerald Networks JSC,Pricing subject to annual CPI adjustment,27-มิ.ย.-2025,04-ก.ค.-2025,03-มิ.ย.-2028,Siti O.,Legal review in progress before renewal,Renewed,"$198,100"
2310,Construction & Maintenance,Building Renovation Contract #3309,Myanmar,"Summit Enterprises Co., Ltd.",Internal - E-commerce,-,13-มี.ค.-2025,13-มี.ค.-2025,19-ต.ค.-2026,Laura I.,No issues reported this cycle,Negotiation in progress,"$300,900"
2311,Construction & Maintenance,HVAC Maintenance Agreement #3310,United States,Silverline Industries Inc.,Lumen Partners Inc.,Volume discount tier applies above threshold spend,02-พ.ค.-2025,02-พ.ค.-2025,27-มิ.ย.-2027,Sarah G.,Flagged for cost optimization review,Renewed,"$1,365,500"
2312,Construction & Maintenance,Elevator Maintenance Contract #3311,Australia,Prime Dynamics Pty Ltd,Internal - HR Dept.,Volume discount tier applies above threshold spend,09-ต.ค.-2025,16-ต.ค.-2025,14-พ.ย.-2026,Nattapong N.,"Renewal quote received, under internal review",Upcoming renewal,"$894,000"
2313,Insurance,Cyber Liability Insurance Policy #3312,India,Granite Innovations Pvt. Ltd.,Internal - Marketing Dept.,-,07-มี.ค.-2022,07-มี.ค.-2022,10-ส.ค.-2024,Arjun S.,Scope extension being discussed with partner,Expired/Not renewed,"$696,200"
2314,Logistics,Last-Mile Delivery Partnership #3313,Philippines,Radiant Technologies Inc.,Internal - Corporate Affairs,Pricing subject to annual CPI adjustment,11-พ.ย.-2024,11-พ.ย.-2024,29-ก.ย.-2026,Tanawat F.,No issues reported this cycle,Negotiation in progress,"$1,345,900"
2315,Consulting,Strategy Advisory Retainer #3314,France,Beacon Group SAS,Internal - E-commerce,-,04-ส.ค.-2023,18-ส.ค.-2023,06-ก.พ.-2025,Hiroshi R.,No issues reported this cycle,Expired/Not renewed,"$817,100"
2316,Financial Services,Payment Gateway Services Agreement #3315,Vietnam,Atlas Services JSC,Internal - Marketing Dept.,Pricing subject to annual CPI adjustment,21-พ.ค.-2025,28-พ.ค.-2025,29-ม.ค.-2028,Michael M.,Scope extension being discussed with partner,Renewed,"$273,900"
